BoxNumber,FolderNumber,Contents,Date
3,104,"Chalmers, Patrick, 1802-1854. ALS to T. J. Pettigrew",1850 Jun 9
3,105,"Chambers, William Frederick, 1786-1855. 2 ALS and 2 AL to T. J. Pettigrew",1818-38
3,106,"Champion de Crespigny, Sir Claude, bart., 1734-1818. AL to T. J. Pettigrew",1816 Oct 8
3,107,"Champion de Crespigny, Sir William, bart., 1765-1829. 1 ALS and 1 AL to T. J. Pettigrew","1823, 1824"
3,108,"Charma, Antoine, 1801-1869. 3 ALS (in French) to T. J. Pettigrew",1850-51
3,109,"Cherry, Henry Curtis. ALS to T. J. Pettigrew",1859 Aug 23
3,110,"Chichester, Henry Thomas Pelham, 7th Earl of, 1804-1886. ALS to T. J. Pettigrew",[1860?] Jul 24
3,111,"Chichester, Sir John Palmer Bruce, bart. ALS to T. J. Pettigrew",n.d.
3,112,"Cholmondeley, Susan (Somerset) Cholmondeley, Marchioness, 1804-1886. AL to T. J. Pettigrew",1835 Jun 22
3,113,"Cholmondeley, William Henry Hugh Cholmondeley, 3d Marquis, 1800-1884. ALS to T. J. Pettigrew",[1846 or later]
3,114,"Christmas, Henry, 1811-1868. ALS to T.J. Pettigrew",1855 Mar 14
3,115,"Churston, John Buller-Yarde-Buller, 1st Baron, 1799-1871. 2 ALS to T. J. Pettigrew","1861 Mar, Nov"
3,116-119,"Cimitile, Principe di. 39 ALS and 3 AL to T. J. Pettigrew.",[1823]-44
3,120,"Clanny, William Reid, 1776-1850. 5 ALS to T. J. Pettigrew",1829-49
3,121,"Clark, Sir James, 1788-1870. ALS and AL to T. J. Pettigrew",1832 Feb
3,122,"Clarke, Sir Charles Mansfield, bart., 1782-1857. 5 ALS to T. J. Pettigrew",[1836]-41
3,123,"Cleveland, Henry George Vane Powlett, 4th Duke of, 1803-1891. ALS to T. J. Pettigrew",1865 Aug 11
3,124,"Cleveland, Henry Vane, 2d Duke of, 1788-1864. ALS and AL to T. J. Pettigrew","1860 Jan, Feb"
3,125,"Clifford, Sir Augustus William James, bart., 1788-1877. ALS to T. J. Pettigrew",n.d.
3,126,"Clifford, Charles Clifford, 6th Baron, 1759-1831. ALS to T. J. Pettigrew",1823 Mar 14
3,127,"Clifford, Charles Hugh Clifford, 8th Baron, 1819-1880. 2 ALS to T. J. Pettigrew","1861 Apr, Nov"
3,128,"Clint, Scipio, 1805-1839. AL to T. J. Pettigrew",1833 Mar 9
3,129,"Close, Thomas, 1796-1881. ALS to T. J. Pettigrew",1852 Oct 27
3,130,"Clot, Antoine-barthélemy, 1793-1868. AL (in French) to T. J. Pettigrew and 1 calling card.",1833 Jan 21
3,131,"Clutterbuck, Henry, 1767-1856. 8 ALS to T. J. Pettigrew",1818-41
